ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,account_no,email,First Name,Last Name
9736,1980,Graduation,Married,1216,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,9.35E+11,bcun@veltech.edu.in,Barbie,Cun
4939,1946,Graduation,Together,1217,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,9.35E+11,ehanshaw@veltech.edu.in,Elden,Hanshaw
6565,1949,Master,Married,1218,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,9.35E+11,bloggins@veltech.edu.in,Blossom,Loggins
2278,1985,2n Cycle,Single,1219,1,0,3/11/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,jdennie@veltech.edu.in,Joseph,Dennie
9360,1982,Graduation,Married,1220,0,0,8/8/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,9.35E+11,pmarkley@veltech.edu.in,Pattie,Markley
5376,1979,Graduation,Married,1221,1,0,6/1/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,9.35E+11,gspahn@veltech.edu.in,Genevieve,Spahn
1993,1949,PhD,Married,1222,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,9.35E+11,ljaworski@veltech.edu.in,Luciano,Jaworski
4047,1954,PhD,Married,1223,0,1,11/1/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,9.35E+11,nmahler@veltech.edu.in,Noe,Mahler
1409,1951,Graduation,Together,1224,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,9.35E+11,kbransford@veltech.edu.in,Karri,Bransford
7892,1969,Graduation,Single,1225,0,0,2/1/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,lbonney@veltech.edu.in,Larae,Bonney
2404,1976,Graduation,Married,1226,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,9.35E+11,sfierros@veltech.edu.in,Sharita,Fierros
5255,1986,Graduation,Single,1227,1,0,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,9.35E+11,fperla@veltech.edu.in,Frederica,Perla
9422,1989,Graduation,Married,1228,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,9.35E+11,melder@veltech.edu.in,Mara,Elder
1966,1965,PhD,Married,1229,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,9.35E+11,evolz@veltech.edu.in,Enola,Volz
6864,1989,Master,Divorced,1230,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,lmccardell@veltech.edu.in,Leslie,Mccardell
3033,1963,Master,Together,1231,0,0,11/5/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,9.35E+11,gcoria@veltech.edu.in,Gina,Coria
5710,1970,Graduation,Together,1232,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,9.35E+11,mtaing@veltech.edu.in,Marietta,Taing
7373,1952,PhD,Divorced,1233,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,9.35E+11,kbuchholtz@veltech.edu.in,Karlyn,Buchholtz
8755,1946,Master,Married,1234,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,9.35E+11,hrenken@veltech.edu.in,Herma,Renken
10738,1951,Master,Single,1235,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,ggillispie@veltech.edu.in,Gertrud,Gillispie
4339,1970,PhD,Married,1236,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,9.35E+11,klavoie@veltech.edu.in,Kelsie,Lavoie
10755,1976,2n Cycle,Married,1237,1,0,2/9/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,9.35E+11,sjenney@veltech.edu.in,Selena,Jenney
8595,1973,Graduation,Widow,1238,0,1,11/2/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,tschooley@veltech.edu.in,Teri,Schooley
2968,1943,PhD,Divorced,1239,0,0,1/2/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,9.35E+11,lcampana@veltech.edu.in,Lizette,Campana
8601,1980,Graduation,Married,1240,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,9.35E+11,mluby@veltech.edu.in,Mayra,Luby
503,1985,Master,Married,1241,1,0,12/3/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,9.35E+11,lfinneran@veltech.edu.in,Luisa,Finneran
8430,1957,Graduation,Together,1242,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,gherrod@veltech.edu.in,Genoveva,Herrod
7281,1959,PhD,Single,1243,0,0,5/11/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,9.35E+11,ttoon@veltech.edu.in,Tandra,Toon
2139,1975,Master,Married,1244,1,0,2/10/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,zmangrum@veltech.edu.in,Zoe,Mangrum
1371,1976,Graduation,Single,1245,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,9.35E+11,msalaam@veltech.edu.in,Marquerite,Salaam
9909,1996,2n Cycle,Married,1246,0,0,9/11/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,9.35E+11,afonte@veltech.edu.in,Alva,Fonte
7286,1968,Graduation,Together,1247,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,9.35E+11,mcage@veltech.edu.in,Maudie,Cage
7244,1951,Graduation,Single,1248,2,1,1/1/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,9.35E+11,hgreaves@veltech.edu.in,Hilde,Greaves
6566,1954,PhD,Married,1249,1,1,8/11/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,9.35E+11,crippe@veltech.edu.in,Christiana,Rippe
8614,1957,Graduation,Widow,1250,0,1,12/5/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,9.35E+11,bwarr@veltech.edu.in,Bulah,Warr
4114,1964,Master,Married,1251,0,0,11/8/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,9.35E+11,astolte@veltech.edu.in,Azzie,Stolte
1331,1977,Graduation,Single,1252,1,0,2/1/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,swhistler@veltech.edu.in,Sharri,Whistler
2225,1977,Graduation,Divorced,1253,0,0,7/6/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,9.35E+11,rholliman@veltech.edu.in,Rebecka,Holliman
9381,1978,Graduation,Married,1254,1,1,12/6/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,9.35E+11,bmuse@veltech.edu.in,Bryce,Muse
6260,1955,Master,Together,1255,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,9.35E+11,mmarcus@veltech.edu.in,Merideth,Marcus
10383,1966,Graduation,Divorced,1256,0,0,2/4/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,9.35E+11,nboden@veltech.edu.in,Nova,Boden
7437,1988,Graduation,Single,1257,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,9.35E+11,gwatchman@veltech.edu.in,Granville,Watchman
8557,1982,Graduation,Single,1258,1,0,17-06-2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,mdearborn@veltech.edu.in,Marquerite,Dearborn
8375,1968,PhD,Married,1259,0,1,3/3/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,9.35E+11,aketcham@veltech.edu.in,Arielle,Ketcham
6853,1982,Master,Single,1260,0,0,4/7/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,9.35E+11,sbuggs@veltech.edu.in,Shona,Buggs
3076,1975,Graduation,Together,1261,1,1,7/9/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,9.35E+11,aciesla@veltech.edu.in,Aleta,Ciesla
1012,1952,Graduation,Single,1262,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,9.35E+11,jwichman@veltech.edu.in,Jenni,Wichman
6518,1951,PhD,Widow,1263,0,1,11/6/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,9.35E+11,cphinney@veltech.edu.in,Cuc,Phinney
4137,1948,Graduation,Together,1264,0,0,6/12/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,9.35E+11,dfleig@veltech.edu.in,Danica,Fleig
8082,1971,Graduation,Married,1265,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,9.35E+11,semigh@veltech.edu.in,Shaquana,Emigh
1386,1967,Graduation,Together,1266,1,1,11/5/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,9.35E+11,bmaster@veltech.edu.in,Brinda,Master
9369,1979,2n Cycle,Single,1267,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,9.35E+11,jhinojos@veltech.edu.in,Janell,Hinojos
4477,1958,Graduation,Together,1268,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,9.35E+11,kcelestin@veltech.edu.in,Karri,Celestin
1357,1970,Graduation,Together,1269,1,2,8/4/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,9.35E+11,ebouley@veltech.edu.in,Enid,Bouley
1402,1954,Master,Married,1270,0,0,11/9/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,9.35E+11,dklenke@veltech.edu.in,Desire,Klenke
10629,1973,2n Cycle,Married,1271,1,0,14-09-2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,9.35E+11,bchamberlain@veltech.edu.in,Brian,Chamberlain
6312,1959,Graduation,Married,1272,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,9.35E+11,kfarabaugh@veltech.edu.in,Kristeen,Farabaugh
8132,1975,PhD,Married,1273,1,1,5/4/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,9.35E+11,gvanatta@veltech.edu.in,Gilda,Vanatta
1050,1952,Graduation,Married,1274,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,9.35E+11,pbumbrey@veltech.edu.in,Princess,Bumbrey
5846,1977,Graduation,Divorced,1275,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,9.35E+11,etownson@veltech.edu.in,Earlie,Townson
1859,1972,Master,Married,1276,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,9.35E+11,flaliberte@veltech.edu.in,Fumiko,Laliberte
7503,1976,Graduation,Single,1277,0,0,12/10/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,9.35E+11,schason@veltech.edu.in,Sherie,Chason
10401,1976,2n Cycle,Together,1278,0,0,4/9/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,9.35E+11,gmaravilla@veltech.edu.in,Gricelda,Maravilla
1618,1965,Graduation,Together,1279,0,0,2/1/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,9.35E+11,sknoll@veltech.edu.in,Serafina,Knoll
3332,1985,Graduation,Single,1280,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,9.35E+11,syounkin@veltech.edu.in,Sachiko,Younkin
2261,1969,Graduation,Married,1281,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,9.35E+11,jnoles@veltech.edu.in,Jena,Noles
5346,1973,2n Cycle,Married,1282,1,0,3/7/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,swiser@veltech.edu.in,Shelby,Wiser
4119,1963,Master,Together,1283,0,0,11/5/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,9.35E+11,mspies@veltech.edu.in,Margareta,Spies
535,1987,Graduation,Divorced,1284,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,9.35E+11,dfurey@veltech.edu.in,Dinorah,Furey
5268,1960,Graduation,Married,1285,1,1,11/8/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,9.35E+11,klechuga@veltech.edu.in,Kiyoko,Lechuga
273,1970,Master,Married,1286,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,9.35E+11,dkreger@veltech.edu.in,Danny,Kreger
4452,1957,Graduation,Single,1287,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,9.35E+11,nfenwick@veltech.edu.in,Nolan,Fenwick
8504,1973,Graduation,Married,1288,0,0,12/5/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,9.35E+11,lunrein@veltech.edu.in,Lesli,Unrein
771,1967,Graduation,Together,1289,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,9.35E+11,dbartle@veltech.edu.in,Donya,Bartle
8996,1957,PhD,Married,1290,2,1,19-11-2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,9.35E+11,pflanery@veltech.edu.in,Palma,Flanery
9235,1957,Graduation,Single,1291,1,1,27-05-2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,9.35E+11,kclothier@veltech.edu.in,Kenny,Clothier
5798,1973,Master,Together,1292,0,0,23-11-2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,9.35E+11,klossing@veltech.edu.in,Kristen,Lossing
11178,1972,Master,Single,1293,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,kfelix@veltech.edu.in,Karoline,Felix
2230,1970,PhD,Married,1294,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,avoll@veltech.edu.in,Alan,Voll
7516,1983,Graduation,Married,1295,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,gwoolfolk@veltech.edu.in,Glenda,Woolfolk
7247,1960,Graduation,Widow,1296,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,9.35E+11,ahosack@veltech.edu.in,Alyson,Hosack
11100,1972,Graduation,Divorced,1297,1,1,11/4/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,fsines@veltech.edu.in,Francis,Sines
4646,1951,2n Cycle,Married,1298,0,0,1/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,9.35E+11,rbagnall@veltech.edu.in,Riley,Bagnall
3037,1983,PhD,Married,1299,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,9.35E+11,ccamp@veltech.edu.in,Carmina,Camp
1473,1960,2n Cycle,Single,1300,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,9.35E+11,atiemann@veltech.edu.in,Alethia,Tiemann
1016,1959,PhD,Single,1301,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,dmolinar@veltech.edu.in,Deborah,Molinar
4518,1979,Graduation,Together,1302,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,9.35E+11,mhuckstep@veltech.edu.in,Marvella,Huckstep
9370,1945,PhD,Married,1303,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,9.35E+11,sbriley@veltech.edu.in,Sallie,Briley
8908,1959,Graduation,Married,1304,0,0,8/5/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,9.35E+11,sbacker@veltech.edu.in,Scottie,Backer
8373,1979,Basic,Together,1305,1,0,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,bkinsey@veltech.edu.in,Beatriz,Kinsey
7533,1964,Graduation,Married,1306,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,9.35E+11,mcarrow@veltech.edu.in,Mason,Carrow
2683,1969,Graduation,Married,1307,0,2,2/2/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,9.35E+11,rblish@veltech.edu.in,Regenia,Blish
3629,1978,Graduation,Single,1308,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,nfaria@veltech.edu.in,Necole,Faria
10991,1960,Master,Married,1309,0,0,7/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,9.35E+11,shadfield@veltech.edu.in,Samantha,Hadfield
5077,1979,Graduation,Together,1310,0,1,2/11/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,9.35E+11,lsing@veltech.edu.in,Lida,Sing
7431,1991,PhD,Single,1311,0,0,10/11/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,9.35E+11,bchurch@veltech.edu.in,Bette,Church
3267,1963,Master,Together,1312,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,9.35E+11,ifriscia@veltech.edu.in,Illa,Friscia
999,1991,Graduation,Single,1313,0,0,2/1/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,9.35E+11,mclabaugh@veltech.edu.in,Magdalena,Clabaugh
9215,1980,PhD,Married,1314,1,0,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,9.35E+11,slemley@veltech.edu.in,Sol,Lemley
2286,1962,Graduation,Single,1315,1,1,10/9/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,anave@veltech.edu.in,Angelyn,Nave
1592,1970,Graduation,Married,1316,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,9.35E+11,lhempstead@veltech.edu.in,Lorie,Hempstead
367,1978,2n Cycle,Married,1317,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,9.35E+11,dbrubaker@veltech.edu.in,Darlena,Brubaker
5234,1967,2n Cycle,Together,1318,1,1,11/7/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,9.35E+11,ialmonte@veltech.edu.in,Ivory,Almonte
9862,1969,Graduation,Together,1319,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,9.35E+11,ksauage@veltech.edu.in,Keva,Sauage
9805,1953,Master,Together,1320,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,9.35E+11,kmorita@veltech.edu.in,Krystin,Morita
6205,1967,Master,Single,1321,1,0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,9.35E+11,mhintzen@veltech.edu.in,Margarito,Hintzen
8442,1985,Master,Married,1322,2,0,4/9/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,agillispie@veltech.edu.in,Alanna,Gillispie
7386,1976,Graduation,Divorced,1323,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,9.35E+11,arosenblatt@veltech.edu.in,Alayna,Rosenblatt
7215,1983,Graduation,Single,1324,0,0,12/3/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,9.35E+11,dthomsen@veltech.edu.in,Deeann,Thomsen
1491,1965,2n Cycle,Together,1325,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,9.35E+11,gmoulton@veltech.edu.in,Guy,Moulton
11071,1984,Graduation,Single,1326,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,9.35E+11,mscudder@veltech.edu.in,Ming,Scudder
3381,1953,Master,Married,1327,1,1,8/6/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,9.35E+11,mespino@veltech.edu.in,Mickey,Espino
8268,1961,PhD,Married,1328,0,1,11/7/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,9.35E+11,mmortimore@veltech.edu.in,Mellissa,Mortimore
11051,1956,PhD,Together,1329,1,1,10/5/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,9.35E+11,lstoute@veltech.edu.in,Lesia,Stoute
8026,1952,Graduation,Married,1330,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,9.35E+11,pmurton@veltech.edu.in,Pauletta,Murton
433,1958,Master,Alone,1331,1,1,10/3/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,9.35E+11,schamberlin@veltech.edu.in,Solomon,Chamberlin
9597,1969,Graduation,Married,1332,0,0,10/2/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,9.35E+11,nyocom@veltech.edu.in,Neville,Yocom
1295,1963,Graduation,Married,1333,0,1,11/8/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,9.35E+11,vedmiston@veltech.edu.in,Vera,Edmiston
